sentence,roi,notoriete,obligation,source,sub_category
Les éducateurs de la petite enfance pourront utiliser nos outils pour suivre et évaluer le développement des enfants de manière plus précise les aidant à adapter leurs méthodes d'enseignement de manière plus efficace,0,1,0,Synthetic,Offre_de_petite_enfance
Notre solution de cryptage est conçue pour répondre aux exigences légales en matière de protection des données offrant à nos clients une solution fiable pour se conformer aux lois et réglementations en vigueur,0,0,1,Synthetic,Cryptage_de_données
En choisissant nos produits et solutions nos clients sont certains de respecter les exigences légales en matière de protection de la vie privée et de sécurité des données,0,0,1,Synthetic,Réglementation
Les citoyens peuvent utiliser notre solution pour découvrir des événements culturels tels que des expositions des concerts et des festivals qui enrichissent leur vie sociale et culturelle,0,1,0,Synthetic,Lieu_de_sortie
Nous proposons des outils de diffusion rapides et efficaces des données anonymisées en conformité avec les exigences légales en matière de partage et d'accès aux données personnelles,0,0,1,Synthetic,Anonymisation_de_données
"Since then, the service has filled a critical transport gap by providing regular return flights to the entire     humanitarian community in the   country with one fixed-wing aircraft, in the face of many challenges.",1,0,0,UNHAS,
"WFP aviation operations often happen in countries and areas with unpredictable and dynamic security situations with possible armed conflicts, armed group movements, IEDs (Improvised Explosive Devices) and other threats at or close to airports/airstrips and en route to various destinations.",0,0,1,UNHAS,
Notre produit permet aux habitants d'accéder à des installations sportives et de loisirs de qualité pour rester actifs et en bonne santé,0,1,0,Synthetic,Attractivité_endogène
En utilisant notre produit les citoyens pourront bénéficier de services de coaching et de mentorat pour les aider à atteindre leurs objectifs personnels et professionnels,0,1,0,Synthetic,Expertises
La modernisation des équipements de loisirs et de divertissement offrira aux résidents locaux des espaces modernes et attractifs pour se détendre et se divertir en famille ou entre amis,0,1,0,Synthetic,Modernisation_des_equipements
En optimisant les flux logistiques nous avons réduit nos coûts de transport et amélioré notre efficacité opérationnelle ce qui a eu un impact direct sur notre rentabilité,1,0,0,Synthetic,Optimisation_des_flux
Photo pages 14-15: WFP/Benoît Lognoné,0,0,0,UNHAS,
En utilisant notre solution les résidents peuvent éviter les amendes de stationnement coûteuses en étant informés des règles de stationnement spécifiques de leur quartier et en respectant ces règles,0,1,0,Synthetic,Facilité_de_stationnement_
UNHAS | Annual Review 2023 9 Date | Brochure title,0,0,0,UNHAS,
Grâce à une meilleure gestion des flux de trésorerie nous avons pu réduire nos coûts de financement et améliorer notre rentabilité,1,0,0,Synthetic,Optimisation_des_flux
En favorisant les échanges constructifs et le partage d'astuces entre les membres de la communauté notre solution contribuera à instaurer un climat de confiance et d'entraide au sein de la population locale,0,1,0,Synthetic,Confiance
En offrant un accès à Internet haut débit dans les quartiers sousdesservis notre entreprise élargit la liberté d'accès à l'information et aux opportunités économiques pour les résidents,0,1,0,Synthetic,Liberté
These are systematically conducted twice a year and they provide opportunities to get feedback for continuous improvement.,1,0,0,UNHAS,
Une entreprise de production de textile a investi dans des machines plus efficaces pour minimiser les défauts de production ce qui a permis de réduire les coûts liés aux rebuts et de maximiser la rentabilité,1,0,0,Synthetic,Réduction_de_rebut_de_production
En favorisant l'inclusion sociale et en offrant des services adaptés aux personnes de tous âges et de tous horizons notre solution contribue à renforcer le tissu social de la communauté et à promouvoir l'image d'une ville accueillante et solidaire,0,1,0,Synthetic,Marque_territorialle
"The service also carried out 9 medical evac- uations for humanitarian personnel, as well as for refugees and migrants.",0,1,1,UNHAS,
Un hôtel a utilisé ce produit pour optimiser ses prix de chambre et a augmenté son taux d'occupation de 10 % ce qui a eu un effet direct sur ses résultats d'exploitation,1,0,0,Synthetic,Résultats_d'exploitations
destinations reached (9 regular | 21 ad hoc),0,0,0,UNHAS,
La modernisation de nos équipements de point de vente nous permettra d'améliorer l'expérience client et d'accélérer nos transactions ce qui augmentera nos ventes et notre rentabilité,1,0,0,Synthetic,Modérnisation_des_installations
En intégrant PaaS payment as a service les entreprises peuvent automatiser leurs processus de paiement ce qui permet d'économiser du temps et des ressources augmentant ainsi leur retour sur investissement,1,0,0,Synthetic,PaaS_payment_as_a_service
En mettant en avant les alternatives à la conduite individuelle telles que la marche et le vélo notre solution encourage un mode de vie plus sain pour les résidents tout en contribuant à désengorger les routes,0,1,0,Synthetic,Fludification_de_la_mobilité
En simplifiant nos processus de fabrication nous avons pu réduire les déchets augmenter notre productivité et améliorer la qualité de nos produits,1,0,0,Synthetic,Simplification
Une entreprise de fabrication souscrit à un contrat de performances avec un fournisseur de solutions de maintenance prédictive garantissant une réduction de 25 % des temps d'arrêt des équipements ce qui lui permet d'augmenter sa productivité et de réduire ses coûts de maintenance,1,0,0,Synthetic,Contrat_de_performances
Grâce à l'implémentation de cette solution de gestion de la relation client une entreprise a pu automatiser ses processus de suivi des ventes et de communication avec les clients ce qui a conduit à une augmentation significative des ventes et de la fidélisation,1,0,0,Synthetic,Efficience
En utilisant l'intelligence artificielle pour améliorer la qualité des prévisions de vente les entreprises peuvent réduire les coûts liés à la surproduction ou à la sousproduction,1,0,0,Synthetic,Utilisation_de_l'intelligence_artificielle
"Booking Hub have been updated to match those in Takeflite, an existing aviation management software.",0,0,0,UNHAS,
DEMOCRATIC REPUBLIC OF      RWANDA THE CONGO BURUNDI KINSHASA,0,0,0,UNHAS,
Nos produits intègrent des technologies respectueuses de l'environnement ce qui vous permet de vous conformer aux réglementations concernant l'utilisation de ressources naturelles,0,0,1,Synthetic,Respect_de_l'environnement_au_niveau_légal
Notre programme de jardinage communautaire permet aux résidents de cultiver leurs propres fruits et légumes favorisant ainsi une alimentation plus saine et abordable,0,1,0,Synthetic,Amélioration_de_la_qualité_de_vie
En utilisant des technologies de pointe pour automatiser les processus de fabrication les entreprises peuvent réduire les coûts de maind'œuvre et augmenter leur rentabilité,1,0,0,Synthetic,Rentabilité
En optant pour nos solutions vous êtes assuré de respecter les obligations légales en matière de reporting financier évitant ainsi tout risque de nonconformité ou de sanctions financières,0,0,1,Synthetic,Obligation_réglementaire
Aviation is one of the first points of call when emergencies start.,0,0,0,UNHAS,
Grâce à notre solution les personnes âgées peuvent trouver des partenaires de marche ou de sport adaptés à leurs besoins ce qui favorise leur maintien en forme et leur indépendance,0,1,0,Synthetic,Aide_aux_personnes_agés
"Fourteen years into the conflict, the humanitarian crisis in north-east Nigeria remains profound and  widespread.",0,0,0,UNHAS,
Nous avons mis en place des processus de production et de livraison qui respectent scrupuleusement les réglementations en vigueur pour garantir la sécurité des utilisateurs,0,0,1,Synthetic,Prévention
Grâce à l'intégration de ce logiciel de gestion des commandes une entreprise a pu réduire les délais de traitement des commandes de moitié ce qui a eu un impact direct sur sa capacité à répondre rapidement à la demande du marché,1,0,0,Synthetic,Les_bénéfices_potentielles_en_termes_d'efficacité_operationelle
En utilisant ce produit les entreprises peuvent améliorer leurs processus internes et augmenter leur productivité sans avoir à investir dans de nouveaux équipements,1,0,0,Synthetic,Améliorer_sans_investissement
En promouvant l'accessibilité et l'inclusivité des espaces publics notre solution offre des opportunités d'épanouissement pour divers groupes de citoyens renforçant ainsi la cohésion sociale,0,1,0,Synthetic,Mise_en_valeur
"The table below provides  details on the budget of each   operation, the corresponding   shortfalls, and the dates until the operations are financially covered with their current available    resources21.",0,0,0,UNHAS,
Une entreprise de transport a pu réduire sa consommation de carburant de 25 % grâce à cette solution ce qui a eu un impact immédiat sur ses résultats d'exploitation,1,0,0,Synthetic,Résultats_d'exploitations
Photo 1 page 18: WFP/Volana Rarivoson,0,0,0,UNHAS,
Grâce à l'utilisation de ce logiciel d'automatisation des rapports financiers une entreprise a pu réduire le temps nécessaire pour générer des rapports minimiser les erreurs humaines et améliorer la transparence des données financières ce qui a augmenté la fiabilité des informations et la prise de décision,1,0,0,Synthetic,Efficience
"In 2023, the humanitarian situation in northern Mozambique was marked by the steady return of IDPs to their home districts, for the first time the conflict began in 2017, as a result of the improved security situation.",0,0,0,UNHAS,
"In Malawi, following Cyclone Freddy, two UNHAS rotary-wing aircraft were deployed to support the delivery of vital food to flood-affected people.",1,1,1,UNHAS,
Notre solution permet aux résidents de partager des ressources et des compétences favorisant ainsi l'apprentissage mutuel et l'autonomisation au sein de la communauté,0,1,0,Synthetic,mobilisation_citoyenne
Un fabricant de produits chimiques a adopté cette solution pour optimiser l'utilisation de l'énergie réduisant ainsi sa facture énergétique et augmentant son retour sur investissement,1,0,0,Synthetic,Optimisation_des_ressources_
UNHAS | Annual Review 2023 4 Date | Brochure title,0,0,0,UNHAS,
"WFP Aviation facilitated the airlift of crucial humanitarian supplies, including storage tents, inflatable cold rooms, and refrigerators to Al-Arish, on the border with Gaza in support of ongoing relief efforts.",1,1,0,UNHAS,
"Furthermore, WFP took a significant step in enhancing operational safety, by repainting a fleet of helicopters operational in the volatile region of eastern DRC, orange.",1,1,1,UNHAS,
Nos outils de gestion des ressources humaines assurent la traçabilité des formations obligatoires et des certifications professionnelles des employés permettant ainsi de respecter les exigences légales en matière de qualification du personnel,0,0,1,Synthetic,Respect_du_droit_de_travail
of Guinea (through IMF),0,0,0,UNHAS,
"In 2023, 5.2 million people were in need of humanitarian assistance, according to the GHO.",0,0,0,UNHAS,
Notre plateforme permet aux citoyens de signaler facilement les problèmes locaux tels que les nidsdepoule ou les pannes d'éclairage ce qui contribue à l'amélioration de l'environnement communautaire,0,1,0,Synthetic,Accès_à_l'information
En choisissant nos solutions vous vous assurez de respecter les normes en matière de recyclage et de gestion responsable des ressources naturelles vous évitant ainsi les sanctions légales liées à la nonconformité,0,0,1,Synthetic,Respect_de_l'environnement_au_niveau_légal
Date | Brochure title,0,0,0,UNHAS,
En adoptant cette solution de gestion des ressources humaines nous avons pu optimiser notre structure de coûts et maximiser la productivité de notre maind'œuvre,1,0,0,Synthetic,Maitrise_de_l'investissement
UNHAS has continued to prioritise the management of aviation security risks in all field operations.,0,0,1,UNHAS,
UNHAS has been operating since 2015 in Yemen to facilitate international access and ensure safer transport solutions in a country where humanitarian needs are ever concerning.,1,1,1,UNHAS,
En utilisant des emballages plus légers et plus efficaces nous avons pu réduire nos coûts liés à la logistique et au transport ce qui a eu un impact positif sur notre coût de fonctionnement,1,0,0,Synthetic,Coût_de_fonctionnement
Une usine de production d'aluminium a adopté des mesures de maintenance préventive pour éviter les pannes de machines ce qui a permis de réduire les rebuts et d'optimiser les coûts de production,1,0,0,Synthetic,Réduction_de_rebut_de_production
Photo 1 page 10: WFP/Benoît Lognoné,0,0,0,UNHAS,
Grâce à notre solution les résidents pourront bénéficier de nouveaux équipements technologiques dans les espaces de travail partagés favorisant ainsi l'innovation et la collaboration au sein de la communauté professionnelle locale,0,1,0,Synthetic,Modernisation_des_equipements
Nous proposons des outils de sensibilisation et de formation à la sécurité des données pour vous aider à respecter les obligations de formation et de sensibilisation du personnel liées à la protection de la confidentialité,0,0,1,Synthetic,Protection_de_la_confidentialité
"Their expertise, unwavering commitment, and relentless efforts are the driving forces behind WFP’s ability to deliver humanitarian assistance to those in need.",0,1,0,UNHAS,
En encourageant les initiatives de troc et de dons de vêtements et d'objets de seconde main on favorise la réutilisation et on réduit la quantité de produits neufs achetés,0,1,0,Synthetic,economie_circulaire
"Despite the challenges, throughout 2023 WFP Aviation Service continued to provide timely services to support humanitarian response.",1,0,0,UNHAS,
Cover Photo: WFP/Benoît Lognoné,0,0,0,UNHAS,
"Given the substantial increase in  passenger and freight volumes,  UNHAS began to reassess its    operations for 2024, aiming to meet these growing needs.",1,0,0,UNHAS,
Nous avons investi dans la recherche et le développement pour nous assurer que nos produits sont en conformité avec les exigences légales et réglementaires les plus récentes,0,0,1,Synthetic,Remise_en_conformité
"Furthermore, an additional 1,392 people – including staff, air operators, contractors, NGOs, partners, and national authorities – received aviation security training on topics such as General Security Awareness, International Civil",0,0,1,UNHAS,
Nos programmes de soutien aux personnes âgées offrent aux aînés de la communauté des occasions de socialiser de recevoir de l'aide et de contribuer à des activités ce qui peut améliorer leur bienêtre social et émotionnel,0,1,0,Synthetic,Bien_être
Notre expertise en matière de conformité légale et réglementaire nous permet de proposer des produits et solutions parfaitement adaptés aux exigences spécifiques liées à la prise de décision gouvernementale,0,0,1,Synthetic,Décision_gouvernemental
"Since the beginning of 2020, the country has been affected by increasing internal insecurity and regional dynamics, driving population   displacement, refugee influxes, and growing humanitarian needs.",0,0,0,UNHAS,
En fournissant des stations de recyclage pratiques nous aidons les habitants à adopter des habitudes respectueuses de l'environnement tout en maintenant la propreté de leur quartier,0,1,0,Synthetic,Propreté
En offrant des cours de recyclage et des outils de sensibilisation environnementale nous encourageons les résidents à adopter des pratiques durables qui améliorent la qualité de vie pour tous,0,1,0,Synthetic,Amélioration_de_la_qualité_de_vie
Nous proposons des fonctionnalités de gestion des risques et de contrôle qualité pour assurer le respect des normes légales et réglementaires relatives au Maintien en conditions opérationnelles,0,0,1,Synthetic,Maintien_en_conditions_opérationnelles
"Following receipt of the request, the WFP Aviation Service carries out a feasibility assessment of the air services that have been requested.",0,0,0,UNHAS,
"Like other countries in East Africa, Kenya is struggling to recover after five consecutive rainy seasons where rainfall was below average resulting in one of the worst droughts in recent history.",0,0,0,UNHAS,
Nous offrons des outils de suivi et de reporting qui vous permettront de documenter et de prouver facilement la conformité de votre entreprise aux normes légales en matière de maintien en conditions opérationnelles des équipements,0,0,1,Synthetic,Maintien_en_conditions_opérationnelles_des_équipement
"Therefore, the current cost recovery will be adjusted from 12 per cent to 29 per cent, following the approval of the UNHAS Steering Committee in October 2023.",1,0,0,UNHAS,
The service increased the frequency of weekly flights from two to eight to,1,1,0,UNHAS,
"Requests are accommodated on a first-come,   first-served basis, and in line with the passenger    prioritization system as outlined in the WFP Aviation Policy (more on page 89).",0,0,0,UNHAS,
The aircraft cruises at about 470 knots (871 km/h).,0,0,0,UNHAS,
En formant notre personnel aux bonnes pratiques environnementales nous avons pu minimiser nos dépenses liées aux amendes et autres coûts indirects liés à la nonconformité environnementale améliorant ainsi notre coût de fonctionnement,1,0,0,Synthetic,Coût_de_fonctionnement
Grâce à nos solutions vos clients pourront facilement gérer les consentements en matière de traitement des données ce qui est crucial pour respecter les exigences de la législation sur la confidentialité,0,0,1,Synthetic,Protection_de_la_confidentialité
En automatisant les processus de paie et d'avantages sociaux cette solution permettra de réduire les erreurs et les coûts liés à la gestion de la rémunération des employés,1,0,0,Synthetic,Economie_de_personelle
Nos produits intègrent des fonctionnalités de suivi et de traçabilité qui vous permettent de respecter les obligations légales liées à la chaîne d'approvisionnement et à la provenance des produits,0,0,1,Synthetic,Obligation_réglementaire
Words from UNHAS user,0,0,0,UNHAS,
En utilisant cette technologie les équipes de vente pourront gérer plus efficacement leur temps en automatisant certaines tâches administratives ce qui leur laissera plus de temps pour prospecter de nouveaux clients,1,0,0,Synthetic,Gain_de_temps
En choisissant nos solutions nos clients bénéficient d'une tranquillité d'esprit quant à leur conformité légale en matière d'Inspection réglementaire ce qui leur permet de se concentrer sur leur activité principale en toute sérénité,0,0,1,Synthetic,Inspection_reglementaire
Les équipes de service client ont réduit de 25% leur temps de réponse aux demandes des clients après avoir mis en place cette solution ce qui a entraîné une augmentation de la satisfaction client,1,0,0,Synthetic,Amélioration_de_la_performance_
Une entreprise de ecommerce peut mettre en œuvre la modélisation des prix pour ajuster ses tarifs en temps réel en fonction des conditions du marché ce qui peut améliorer sa compétitivité et ses revenus,1,0,0,Synthetic,Modélisation_des_pricings
En soutenant les initiatives de création d'emplois locaux notre solution contribue à renforcer l'inclusion économique des résidents et à réduire les inégalités,0,1,0,Synthetic,Inclusion
Nos solutions intègrent des fonctionnalités de reporting et d'analyse qui aident nos clients à identifier les écarts de conformité en matière d'Inspection réglementaire et à prendre rapidement des mesures correctives,0,0,1,Synthetic,Inspection_reglementaire
"Therefore, it is crucial to keep UNHAS operations financially sustainable.",0,0,1,UNHAS,
En utilisant notre solution les résidents locaux peuvent facilement trouver des partenaires de sport pour s'entraîner ensemble ce qui favorise la socialisation et les rencontres,0,1,0,Synthetic,Sport
En utilisant cette solution nous avons pu suivre de près nos coûts et nos dépenses liés à nos projets ce qui nous a permis d'identifier les gaspillages et les inefficacités et de les corriger rapidement,1,0,0,Synthetic,Bon_déroulement_des_projets
Growing up I had two  big dreams that seemed   incompatible at the time: work for a humanitarian organization and work in the aviation industry.,0,0,0,UNHAS,
En choisissant nos solutions nos clients sont en mesure de garantir la conformité de leurs opérations avec les lois et réglementations en vigueur minimisant ainsi les risques juridiques potentiels,0,0,1,Synthetic,Réglementation
Niger | Mirwais Motakef | mirwais.motakef@wfp.org,0,0,0,UNHAS,
Grâce à ce produit convivial nos équipes ont pu collaborer plus efficacement réduisant ainsi les délais de livraison des projets et améliorant la satisfaction des clients,1,0,0,Synthetic,Facile_d'utilisation_
Les personnes de tous âges peuvent participer à des activités de remise en forme et de bienêtre ce qui favorise un mode de vie sain et actif pour tous,0,1,0,Synthetic,Inter-génerationnel
Un hôtel a utilisé ce produit pour mieux gérer la planification de son personnel ce qui a permis d'améliorer la productivité et la satisfaction des employés tout en réduisant les coûts liés au personnel,1,0,0,Synthetic,Optimisation_des_effectif
En utilisant cette solution de gestion des stocks nous avons pu réduire nos stocks excédentaires et minimiser les coûts de stockage améliorant ainsi notre trésorerie et notre rentabilité,1,0,0,Synthetic,Bénefices
"In the pursuit of an ever more effective service, WFP Aviation is always looking to apply new technology in its operations.",0,0,0,UNHAS,
This best practice is also being developed for other countries where the need is emerging.,0,0,0,UNHAS,
Une entreprise de fabrication peut utiliser l'agrégation de données pour rassembler les données de production de qualité et de maintenance afin d'identifier les goulots d'étranglement d'optimiser les processus et d'améliorer l'efficacité opérationnelle,1,0,0,Synthetic,Aggrégation_de_données
"This is an adventure, every day is different",0,0,0,UNHAS,
"In December 2023, the withdrawal of the United Nations Multidimensional mission (MINUSMA) increased the need for wider service coverage.",0,0,0,UNHAS,
En intégrant cette solution à leurs opérations une entreprise de fabrication a pu mieux planifier et coordonner ses opérations ce qui a permis d'augmenter sa capacité de production sans investir dans de nouveaux équipements,1,0,0,Synthetic,Optimiser_la_production
Cabin waste management guidelines development: The WFP Aviation Service has developed cabin waste management guidelines to assist contracted air carriers in defining and aligning their cabin waste management processes.,1,0,0,UNHAS,
Créer des zones piétonnes et des pistes cyclables sécurisées encouragerait les habitants à marcher et à faire du vélo pour leurs déplacements du quotidien,0,1,0,Synthetic,Offre_de_mobilité
"This Annual Review provides a full, detailed appraisal and set of insights into UNHAS performance in 2023.",0,0,0,UNHAS,
En offrant des services de proximité tels que des programmes de soutien aux familles des services de garde ou des activités pour les personnes âgées notre solution améliore la qualité de vie des résidents de tous âges,0,1,0,Synthetic,Optimisation_de_la_qualité_d'usages
Photos 2 page 82: WFP/Alaa Noaman,0,0,0,UNHAS,
UNHAS in a nutshell,0,0,0,UNHAS,
Notre solution permettra de mettre en place des équipements sportifs et de loisirs pour tous les âges ce qui contribuera à attirer une population diversifiée en quête d'activités variées,0,1,0,Synthetic,Attractivité_territoriale
UNHAS provided vital operational support and services across the world in 2023.,0,0,0,UNHAS,
Grâce à l'implémentation de cette solution une entreprise de services financiers a pu gérer un plus grand nombre de transactions ce qui a conduit à une croissance significative de son activité,1,0,0,Synthetic,Capacité_accrue
"This year, 86 regular flights, and two chartered flights were conducted.",0,0,0,UNHAS,
Grâce à des partenariats avec des entreprises locales notre solution peut offrir des opportunités d'emplois saisonniers ou à temps partiel adaptées aux besoins des résidents,0,1,0,Synthetic,Accès_à_l'emploi
Notre produit permettra aux résidents de bénéficier d'un accès amélioré aux soins de santé et aux services sociaux garantissant ainsi la pérennité des systèmes de soutien communautaire,0,1,0,Synthetic,Pérenité
Grâce à nos produits les clients peuvent automatiser les processus de conformité et réduire les risques d'écart par rapport aux exigences légales en matière de Maintien en conditions opérationnelles,0,0,1,Synthetic,Maintien_en_conditions_opérationnelles
The PSS and PASS surveys   conducted by UNHAS Afghanistan at the end of 2023 showed an overall satisfaction rate of    respectively 93 per cent and 95 per cent.,0,1,0,UNHAS,
En mettant en œuvre cette solution notre entreprise a pu améliorer la satisfaction de nos clients en respectant les délais et les spécifications des projets ce qui a conduit à une augmentation de la fidélité des clients et à des recommandations positives,1,0,0,Synthetic,Bon_déroulement_des_projets
"Additionally, special flights were  performed to relocate humanitarian staff and their dependants crossing the border from Sudan to South  Sudan.",0,0,0,UNHAS,
"By providing air transport for humanitarian and    development workers as well as lifesaving supplies,   UNHAS facilitates the delivery of assistance to vulnerable populations, bridging the gap between relief efforts and those in need.",1,1,0,UNHAS,
managed EU HAF    transported over 700    passengers and 156 tons of cargo.,0,0,0,UNHAS,
"A synergistic approach was developed and implemented to guarantee the coordination of flight routes, fostering partnerships with local Civil Aviation    Authorities (CAA), other humanitarian air service providers, as well as security networks within the areas of operation.",1,0,1,UNHAS,
"The insecurity in Mali caused   significant population displacement, increasing the humanitarian needs in all sectors.",0,0,0,UNHAS,
Celebrating 20 years since UNHAS creation .,0,0,0,UNHAS,
"ERP) – Tabletop Scenarios, and the Drug Alcohol Management Programme (DAMP).",0,0,1,UNHAS,
Avec nos solutions nos clients bénéficient d'un accompagnement continu pour rester en conformité avec les évolutions légales et réglementaires minimisant ainsi tout risque lié à la nonconformité,0,0,1,Synthetic,Remise_en_conformité
En mettant en place des programmes de santé communautaire notre solution encourage les résidents à adopter des modes de vie sains ce qui contribue à améliorer leur sentiment de bienêtre général,0,1,0,Synthetic,Sentiment_de_bien_être
Ce produit permet aux entreprises de facilement exploiter les fonctionnalités de suivi des activités en ligne pour optimiser leurs campagnes publicitaires et obtenir un meilleur retour sur investissement,1,0,0,Synthetic,Facilement_exploitable
Ce produit nous a permis d'automatiser certains processus ce qui a libéré du temps pour nos employés et a permis une meilleure utilisation de leurs compétences augmentant ainsi notre rentabilité,1,0,0,Synthetic,Bénefices
"Drought is a major driver of food insecurity, and while sufficient rainfall has given relief (water availability and pasture) to previously drought-affected areas, recovery from the drought will take several years.",0,0,0,UNHAS,
United Nations Aviation Standards for Peacekeeping and Humanitarian Air Transport Operations,0,0,1,UNHAS,
UNHAS | Annual Review 2023 36 Date | Brochure title,0,0,0,UNHAS,
About         field support,0,0,0,UNHAS,
Nos produits et solutions sont conformes aux normes et réglementations environnementales en vigueur ce qui garantit une réduction significative des émissions polluantes,0,0,1,Synthetic,Respect_des_règles_sur_les_emissions_des_polluants
Intégration de solutions de connectivité numérique pour offrir aux résidents un accès facile à l'information aux services en ligne et aux opportunités d'apprentissage,0,1,0,Synthetic,Modernisation
"Moreover, climate extremes are making established rainfall patterns more erratic and hazards more severe, impacting food security as well as disease outbreaks and displacement.",1,1,0,UNHAS,
En analysant les données d'inventaire et de ventes les commerçants peuvent prévoir plus précisément la demande future réduisant ainsi les coûts liés à la surstockage ou à la rupture de stock,1,0,0,Synthetic,Monétisation_de_la_donnée
Nigeria | Conny Akerstrom | conny.akerstrom@wfp.org,0,0,0,UNHAS,
"In Haiti, the earthquake, tropical storms, and growing insecurity  required enhanced access to affected communities: UNHAS stepped up and delivered.",1,1,1,UNHAS,
The WFP Aviation Service has a total of over 144 aircraft including medium,0,0,0,UNHAS,
"The effects of    COVID-19, intercommunal violence, flooding, among others further   deepened extreme poverty and   hampered private sector prospects and livelihood improvements.",0,0,0,UNHAS,
January February March May April June,0,0,0,UNHAS,
En mettant en place des programmes de sensibilisation à la sécurité personnelle nous aidons les citoyens à se sentir plus en sécurité et à réduire leur anxiété quotidienne,0,1,0,Synthetic,Sérenité
"UNHAS represents the only safe way to reach remote areas of the country to provide the much-needed   assistance to vulnerable beneficiaries and remains the most reliable, flexible, and cost-effective option for transporting     humanitarian cargo and personnel in the country.",1,1,1,UNHAS,
"The aviation security team, working in collaboration with the regional Aviation Safety Unit, conducted  rigorous safety and security trainings for air operators, airport authorities, and field focal points.",0,0,1,UNHAS,
En choisissant nos produits vous pourrez répondre aux exigences légales liées à la conformité fiscale évitant ainsi tout risque de nonconformité ou de litiges avec les autorités fiscales,0,0,1,Synthetic,Obligation_réglementaire
En équipant les parcs locaux de stations de musculation en plein air notre solution encourage les résidents à adopter un mode de vie plus actif et à améliorer leur bienêtre physique,0,1,0,Synthetic,Equipement_sportif
"From March, these two separate routes were  combined: Doha – Dubai – Kabul and back.",0,0,0,UNHAS,
Nos produits intègrent des fonctionnalités spécifiques permettant de générer des rapports détaillés et documentés pour justifier de la conformité aux règlementations en matière de Contrôle reglementaire,0,0,1,Synthetic,Contrôle_reglementaire
"NORWAY 1,448,590 CANADA 1,158,539 in need inside Sudan,  arranging for cross-border delivery of supplies, and reliable humanitarian access of personnel.",0,0,0,UNHAS,
Les résidents à faible revenu peuvent utiliser notre solution de transport en commun abordable pour accéder aux services essentiels tels que les hôpitaux les centres commerciaux ou les administrations publiques,0,1,0,Synthetic,Transport_en_commun
Nos produits intègrent des mesures de sécurité avancées pour protéger les données personnelles de nos clients en conformité avec les normes de protection de la vie privée,0,0,1,Synthetic,Respect_de_la_vie_privée_au_sens_légal
La vitesse de calcul nous permet d'automatiser certaines tâches répétitives ce qui libère du temps pour nos employés afin qu'ils puissent se concentrer sur des tâches à plus forte valeur ajoutée,1,0,0,Synthetic,Vitesse_de_calcul
Date | Brochure title UNHAS | 2021 Overview 14 Global Humanitarian Overview 2024 [EN/AR/FR/ES] - World | ReliefWeb.,0,0,0,UNHAS,
Avec cette solution nos équipes de développement de produits pourraient collaborer de manière plus efficace réduisant ainsi les temps de mise sur le marché et augmentant le retour sur investissement pour chaque nouveau produit,1,0,0,Synthetic,éfficacité_des_interventions
Nos produits sont conçus en conformité avec les normes et réglementations en vigueur ce qui garantit à nos clients une tranquillité d'esprit en matière de conformité légale,0,0,1,Synthetic,Réglementation
Nos solutions incluent des outils de gestion des droits d'accès qui vous aident à vous conformer aux exigences de protection des données et de limitation des accès imposées par la législation sur la confidentialité,0,0,1,Synthetic,Protection_de_la_confidentialité
Nos produits et solutions sont régulièrement mis à jour pour prendre en compte toute évolution de la législation en matière de santé au travail assurant ainsi à nos clients une conformité permanente aux règles en vigueur,0,0,1,Synthetic,Respects_des_règles_de_santé_au_travail
"After the drought ended, Kenya experienced heavier-than-usual rains that brought floods, ravaging parts of central, coastal, southeastern, north",0,0,0,UNHAS,
Air assets are deemed practical to support the relief operation.,0,0,0,UNHAS,
En utilisant ce produit les managers pourront suivre plus facilement les performances de leur équipe ce qui leur fera gagner du temps dans l'analyse des données et la prise de décision,1,0,0,Synthetic,Gain_de_temps
En utilisant l'homogénéisation des données nous avons pu identifier des inefficacités dans nos processus opérationnels et les corriger ce qui a conduit à des gains de productivité et à une réduction des coûts liés aux retards et aux erreurs,1,0,0,Synthetic,Homogéinisation_des_données_
Grâce à ce produit les équipes de construction peuvent optimiser la planification des tâches et minimiser les retards ce qui se traduit par des projets achevés plus rapidement et des économies de coûts,1,0,0,Synthetic,éfficacité_des_interventions
"Yemen remains among the world’s most concerning humanitarian crises, with over nine years of conflict, climate-related shocks, ongoing economic crisis and disrupted public services.",0,0,0,UNHAS,
En optimisant nos flux de distribution nous avons pu améliorer la satisfaction client en livrant plus rapidement les commandes ce qui a conduit à une augmentation de notre part de marché et à une croissance de nos revenus,1,0,0,Synthetic,Optimisation_des_flux
En simplifiant notre chaîne logistique nous avons pu réduire les délais de livraison et les coûts d'entreposage ce qui a eu un impact direct sur notre rentabilité,1,0,0,Synthetic,Simplification
"Recognizing the pivotal role of strategic collaborations in this endeavour, WFP has forged partnerships with leading",0,0,0,UNHAS,
Grâce à l'utilisation de technologies de réalité augmentée notre solution offrira des visites guidées interactives des sites historiques locaux permettant aux résidents de découvrir et d'apprécier l'histoire de leur communauté,0,1,0,Synthetic,Valorisation_de_lieux_de_rencontres
Mettre en place des services de navettes pour les jeunes et les personnes âgées aiderait à renforcer le lien social au sein de la communauté,0,1,0,Synthetic,Offre_de_mobilité
